ID_REF	VALUE
R10 - C10 : 5	45.07
R10 - C10 : 6	80.20
R10 - C10 : 7	341.29
R10 - C10 : 8	36.86
R10 - C10 : 9	0.00
R10 - C11 : 1	56.39
R10 - C11 : 10	25.62
R10 - C11 : 11	21.64
R10 - C11 : 12	9.14
R10 - C11 : 13	34.52
R10 - C11 : 14	202.61
R10 - C11 : 15	29.25
R10 - C11 : 16	12.80
R10 - C11 : 2	59.44
R10 - C11 : 3	82.92
R10 - C11 : 4	44.71
R10 - C11 : 5	31.52
R10 - C11 : 6	30.16
R10 - C11 : 7	31.86
R10 - C11 : 8	32.05
R10 - C11 : 9	29.98
R10 - C12 : 1	411.81
R10 - C12 : 10	42.48
R10 - C12 : 11	115.71
R10 - C12 : 12	159.57
R10 - C12 : 13	41.43
R10 - C12 : 14	187.39
R10 - C12 : 15	0.00
R10 - C12 : 16	127.43
R10 - C12 : 2	15.74
R10 - C12 : 3	96.96
R10 - C12 : 4	171.04
R10 - C12 : 5	52.04
R10 - C12 : 6	101.51
R10 - C12 : 7	69.66
R10 - C12 : 8	0.00
R10 - C12 : 9	0.00
R10 - C13 : 1	22.48
R10 - C13 : 10	1334.14
R10 - C13 : 11	27.03
R10 - C13 : 12	40.25
R10 - C13 : 13	15.95
R10 - C13 : 14	108.55
R10 - C13 : 15	32.11
R10 - C13 : 16	67.80
R10 - C13 : 2	78.99
R10 - C13 : 3	47.81
R10 - C13 : 4	36.14
R10 - C13 : 5	38.59
R10 - C13 : 6	86.47
R10 - C13 : 7	33.91
R10 - C13 : 8	78.63
R10 - C13 : 9	29.03
R10 - C14 : 1	17.06
R10 - C14 : 10	342.12
R10 - C14 : 11	291.98
R10 - C14 : 12	52.71
R10 - C14 : 13	16.81
R10 - C14 : 14	358.26
R10 - C14 : 15	80.60
R10 - C14 : 16	39.65
R10 - C14 : 2	99.35
R10 - C14 : 3	314.66
R10 - C14 : 4	51.29
R10 - C14 : 5	42.61
R10 - C14 : 6	7.70
R10 - C14 : 7	306.71
R10 - C14 : 8	42.01
R10 - C14 : 9	72.83
R10 - C15 : 1	131.70
R10 - C15 : 10	88.91
R10 - C15 : 11	24.81
R10 - C15 : 12	23.89
R10 - C15 : 13	61.52
R10 - C15 : 14	207.82
R10 - C15 : 15	35.56
R10 - C15 : 16	85.42
R10 - C15 : 2	91.78
R10 - C15 : 3	0.00
R10 - C15 : 4	28.61
R10 - C15 : 5	18.20
R10 - C15 : 6	67.03
R10 - C15 : 7	160.75
R10 - C15 : 8	38.39
R10 - C15 : 9	42.23
R10 - C16 : 1	83.43
R10 - C16 : 10	0.00
R10 - C16 : 11	55.94
R10 - C16 : 12	267.05
R10 - C16 : 13	30.97
R10 - C16 : 14	63.22
R10 - C16 : 15	309.53
R10 - C16 : 16	57.98
R10 - C16 : 2	78.22
R10 - C16 : 3	14.32
R10 - C16 : 4	108.79
R10 - C16 : 5	189.95
R10 - C16 : 6	54.39
R10 - C16 : 7	104.51
R10 - C16 : 8	23.24
R10 - C16 : 9	44.38
R10 - C17 : 1	29.54
R10 - C17 : 10	77.03
R10 - C17 : 11	55.24
R10 - C17 : 12	44.71
R10 - C17 : 13	58.31
R10 - C17 : 14	111.65
R10 - C17 : 15	99.14
R10 - C17 : 16	77.66
R10 - C17 : 2	36.30
R10 - C17 : 3	16.57
R10 - C17 : 4	41.02
R10 - C17 : 5	36.64
R10 - C17 : 6	132.63
R10 - C17 : 7	71.19
R10 - C17 : 8	94.10
R10 - C17 : 9	0.00
R10 - C18 : 1	87.04
R10 - C18 : 10	33.69
R10 - C18 : 11	30.17
R10 - C18 : 12	48.90
R10 - C18 : 13	30.00
R10 - C18 : 14	178.48
R10 - C18 : 15	305.78
R10 - C18 : 16	159.27
R10 - C18 : 2	327.54
R10 - C18 : 3	57.75
R10 - C18 : 4	843.04
R10 - C18 : 5	81.89
R10 - C18 : 6	63.23
R10 - C18 : 7	79.00
R10 - C18 : 8	48.82
R10 - C18 : 9	115.71
R10 - C19 : 1	34.08
R10 - C19 : 10	34.89
R10 - C19 : 11	227.98
R10 - C19 : 12	24.56
R10 - C19 : 13	29.14
R10 - C19 : 14	175.21
R10 - C19 : 15	24.63
R10 - C19 : 16	36.83
R10 - C19 : 2	217.36
R10 - C19 : 3	414.68
R10 - C19 : 4	51.97
R10 - C19 : 5	47.77
R10 - C19 : 6	149.48
R10 - C19 : 7	21.70
R10 - C19 : 8	23.70
R10 - C19 : 9	27.35
R10 - C2 : 1	138.42
R10 - C2 : 10	55.62
R10 - C2 : 11	196.48
R10 - C2 : 12	0.00
R10 - C2 : 13	54.41
R10 - C2 : 14	103.34
R10 - C2 : 15	52.46
R10 - C2 : 16	55.75
R10 - C2 : 2	29.84
R10 - C2 : 3	216.67
R10 - C2 : 4	54.37
R10 - C2 : 5	21.15
R10 - C2 : 6	35.89
R10 - C2 : 7	81.77
R10 - C2 : 8	48.13
R10 - C2 : 9	31.92
R10 - C20 : 1	128.04
R10 - C20 : 10	140.73
R10 - C20 : 11	61.68
R10 - C20 : 12	102.62
R10 - C20 : 13	11.39
R10 - C20 : 14	98.14
R10 - C20 : 15	41.21
