ID_REF	VALUE
R1 - C8 : 5	47.23
R1 - C8 : 6	326.43
R1 - C8 : 7	31.00
R1 - C8 : 8	239.52
R1 - C8 : 9	271.48
R1 - C9 : 1	19.97
R1 - C9 : 10	57.43
R1 - C9 : 11	13.51
R1 - C9 : 12	61.07
R1 - C9 : 13	238.29
R1 - C9 : 14	106.13
R1 - C9 : 15	72.35
R1 - C9 : 16	105.45
R1 - C9 : 2	48.28
R1 - C9 : 3	58.45
R1 - C9 : 4	62.09
R1 - C9 : 5	116.09
R1 - C9 : 6	232.44
R1 - C9 : 7	61.86
R1 - C9 : 8	195.98
R1 - C9 : 9	292.95
R10 - C1 : 1	26.33
R10 - C1 : 10	167.53
R10 - C1 : 11	123.88
R10 - C1 : 12	0.00
R10 - C1 : 13	9.03
R10 - C1 : 14	64.46
R10 - C1 : 15	50.40
R10 - C1 : 16	107.69
R10 - C1 : 2	38.82
R10 - C1 : 3	29.81
R10 - C1 : 4	27.51
R10 - C1 : 5	17.37
R10 - C1 : 6	36.11
R10 - C1 : 7	64.67
R10 - C1 : 8	14.30
R10 - C1 : 9	56.75
R10 - C10 : 1	80.45
R10 - C10 : 10	102.71
R10 - C10 : 11	35.41
R10 - C10 : 12	0.00
R10 - C10 : 13	8.55
R10 - C10 : 14	857.89
R10 - C10 : 15	159.46
R10 - C10 : 16	0.00
R10 - C10 : 2	18.59
R10 - C10 : 3	99.09
R10 - C10 : 4	55.70
R10 - C10 : 5	43.74
R10 - C10 : 6	96.77
R10 - C10 : 7	353.05
R10 - C10 : 8	28.43
R10 - C10 : 9	0.00
R10 - C11 : 1	51.53
R10 - C11 : 10	23.04
R10 - C11 : 11	6.99
R10 - C11 : 12	11.73
R10 - C11 : 13	32.08
R10 - C11 : 14	258.24
R10 - C11 : 15	24.41
R10 - C11 : 16	15.54
R10 - C11 : 2	38.02
R10 - C11 : 3	72.33
R10 - C11 : 4	63.76
R10 - C11 : 5	31.84
R10 - C11 : 6	32.81
R10 - C11 : 7	40.60
R10 - C11 : 8	53.02
R10 - C11 : 9	34.36
R10 - C12 : 1	182.34
R10 - C12 : 10	23.96
R10 - C12 : 11	92.47
R10 - C12 : 12	225.44
R10 - C12 : 13	37.86
R10 - C12 : 14	220.44
R10 - C12 : 15	0.00
R10 - C12 : 16	96.35
R10 - C12 : 2	13.16
R10 - C12 : 3	124.97
R10 - C12 : 4	264.87
R10 - C12 : 5	124.79
R10 - C12 : 6	111.11
R10 - C12 : 7	122.28
R10 - C12 : 8	13.21
R10 - C12 : 9	12.97
R10 - C13 : 1	30.70
R10 - C13 : 10	1301.03
R10 - C13 : 11	29.86
R10 - C13 : 12	34.87
R10 - C13 : 13	21.14
R10 - C13 : 14	140.43
R10 - C13 : 15	40.31
R10 - C13 : 16	76.94
R10 - C13 : 2	114.78
R10 - C13 : 3	60.50
R10 - C13 : 4	53.71
R10 - C13 : 5	27.40
R10 - C13 : 6	88.10
R10 - C13 : 7	30.89
R10 - C13 : 8	169.54
R10 - C13 : 9	27.24
