ID_REF	VALUE
R10 - C24 : 11	21.26
R10 - C24 : 12	90.89
R10 - C24 : 13	25.22
R10 - C24 : 14	187.73
R10 - C24 : 15	72.36
R10 - C24 : 16	0.00
R10 - C24 : 2	39.56
R10 - C24 : 3	77.11
R10 - C24 : 4	65.14
R10 - C24 : 5	122.77
R10 - C24 : 6	114.48
R10 - C24 : 7	49.00
R10 - C24 : 8	147.47
R10 - C24 : 9	48.53
R10 - C3 : 1	18.99
R10 - C3 : 10	0.00
R10 - C3 : 11	61.48
R10 - C3 : 12	68.74
R10 - C3 : 13	12.96
R10 - C3 : 14	294.75
R10 - C3 : 15	221.72
R10 - C3 : 16	390.13
R10 - C3 : 2	23.47
R10 - C3 : 3	94.26
R10 - C3 : 4	59.69
R10 - C3 : 5	0.00
R10 - C3 : 6	35.17
R10 - C3 : 7	204.29
R10 - C3 : 8	103.47
R10 - C3 : 9	103.00
R10 - C4 : 1	49.06
R10 - C4 : 10	0.00
R10 - C4 : 11	85.11
R10 - C4 : 12	8.92
R10 - C4 : 13	23.93
R10 - C4 : 14	183.78
R10 - C4 : 15	196.87
R10 - C4 : 16	498.39
R10 - C4 : 2	88.47
R10 - C4 : 3	371.88
R10 - C4 : 4	36.91
R10 - C4 : 5	62.49
R10 - C4 : 6	34.51
R10 - C4 : 7	204.41
R10 - C4 : 8	15.59
R10 - C4 : 9	0.00
R10 - C5 : 1	116.45
R10 - C5 : 10	99.81
R10 - C5 : 11	266.86
R10 - C5 : 12	92.16
R10 - C5 : 13	60.42
R10 - C5 : 14	365.25
R10 - C5 : 15	174.26
R10 - C5 : 16	0.00
R10 - C5 : 2	86.47
R10 - C5 : 3	222.24
R10 - C5 : 4	20.40
R10 - C5 : 5	13.85
R10 - C5 : 6	445.51
R10 - C5 : 7	71.41
R10 - C5 : 8	49.87
R10 - C5 : 9	37.08
R10 - C6 : 1	246.56
R10 - C6 : 10	37.60
R10 - C6 : 11	111.18
R10 - C6 : 12	23.19
R10 - C6 : 13	34.44
R10 - C6 : 14	87.97
R10 - C6 : 15	0.00
R10 - C6 : 16	197.31
R10 - C6 : 2	153.93
R10 - C6 : 3	226.88
R10 - C6 : 4	13.99
R10 - C6 : 5	74.59
R10 - C6 : 6	21.76
R10 - C6 : 7	85.16
R10 - C6 : 8	92.59
R10 - C6 : 9	39.90
R10 - C7 : 1	41.49
R10 - C7 : 10	28.88
R10 - C7 : 11	0.00
R10 - C7 : 12	196.24
R10 - C7 : 13	70.57
R10 - C7 : 14	111.73
R10 - C7 : 15	21.89
R10 - C7 : 16	115.58
R10 - C7 : 2	32.96
R10 - C7 : 3	54.72
R10 - C7 : 4	11.05
R10 - C7 : 5	83.32
R10 - C7 : 6	54.06
R10 - C7 : 7	454.93
R10 - C7 : 8	30.39
R10 - C7 : 9	23.33
R10 - C8 : 1	52.37
R10 - C8 : 10	48.66
R10 - C8 : 11	51.67
R10 - C8 : 12	228.48
R10 - C8 : 13	0.00
R10 - C8 : 14	40.23
R10 - C8 : 15	222.88
R10 - C8 : 16	171.71
R10 - C8 : 2	34.02
R10 - C8 : 3	120.98
R10 - C8 : 4	55.36
R10 - C8 : 5	196.34
R10 - C8 : 6	282.68
R10 - C8 : 7	216.50
R10 - C8 : 8	43.02
R10 - C8 : 9	122.91
R10 - C9 : 1	49.19
R10 - C9 : 10	57.75
R10 - C9 : 11	36.32
R10 - C9 : 12	0.00
R10 - C9 : 13	11.02
R10 - C9 : 14	559.22
R10 - C9 : 15	83.84
R10 - C9 : 16	147.37
R10 - C9 : 2	34.95
R10 - C9 : 3	317.00
R10 - C9 : 4	222.66
R10 - C9 : 5	50.99
R10 - C9 : 6	63.94
R10 - C9 : 7	411.01
R10 - C9 : 8	107.11
R10 - C9 : 9	76.23
R11 - C1 : 1	115.10
R11 - C1 : 10	41.55
R11 - C1 : 11	58.63
R11 - C1 : 12	83.68
R11 - C1 : 13	53.82
R11 - C1 : 14	162.91
R11 - C1 : 15	173.30
R11 - C1 : 16	120.86
R11 - C1 : 2	13.06
R11 - C1 : 3	507.80
R11 - C1 : 4	375.30
R11 - C1 : 5	0.00
R11 - C1 : 6	98.63
R11 - C1 : 7	106.52
R11 - C1 : 8	63.75
R11 - C1 : 9	57.56
R11 - C10 : 1	81.40
R11 - C10 : 10	157.44
R11 - C10 : 11	6.37
R11 - C10 : 12	68.68
R11 - C10 : 13	24.94
R11 - C10 : 14	124.53
R11 - C10 : 15	90.18
R11 - C10 : 16	76.62
R11 - C10 : 2	0.00
R11 - C10 : 3	100.52
R11 - C10 : 4	22.87
R11 - C10 : 5	22.79
R11 - C10 : 6	0.00
R11 - C10 : 7	41.99
R11 - C10 : 8	37.06
R11 - C10 : 9	17.25
R11 - C11 : 1	33.10
R11 - C11 : 10	45.75
R11 - C11 : 11	14.38
R11 - C11 : 12	230.17
R11 - C11 : 13	50.36
R11 - C11 : 14	684.04
R11 - C11 : 15	40.23
R11 - C11 : 16	81.75
R11 - C11 : 2	123.97
R11 - C11 : 3	0.00
R11 - C11 : 4	14.03
R11 - C11 : 5	45.51
R11 - C11 : 6	124.68
R11 - C11 : 7	64.40
R11 - C11 : 8	125.87
