ORF name,TR change ranking,HL change ranking,responsiveness
YOR217W,4,5,9
YOR310C,5,4,9
YOR335C,4,5,9
YPL079W,5,4,9
YPL081W,5,4,9
YPL093W,5,4,9
YPL095C,5,4,9
YPL112C,4,5,9
YPL148C,5,4,9
YPL208W,5,4,9
YPL263C,5,4,9
YPR041W,5,4,9
YPR060C,4,5,9
YPR132W,4,5,9
YAL036C,3,5,8
YBL022C,5,3,8
YBL029W,5,3,8
YBL082C,3,5,8
YBR002C,5,3,8
YBR093C,5,3,8
YBR130C,3,5,8
YBR150C,4,4,8
YBR167C,3,5,8
YBR174C,4,4,8
YBR185C,3,5,8
YBR194W,4,4,8
YBR205W,3,5,8
YBR248C,5,3,8
YCL002C,5,3,8
YCL007C,5,3,8
YCL058C,5,3,8
YCR004C,4,4,8
YCR040W,5,3,8
YDL004W,4,4,8
YDL042C,5,3,8
YDL049C,3,5,8
YDL084W,4,4,8
YDL102W,4,4,8
YDL120W,4,4,8
YDL121C,3,5,8
YDL137W,4,4,8
YDL148C,5,3,8
YDL157C,5,3,8
YDL227C,5,3,8
YDL240W,4,4,8
YDR050C,5,3,8
YDR076W,4,4,8
YDR077W,4,4,8
YDR083W,4,4,8
YDR091C,5,3,8
YDR140W,4,4,8
YDR206W,4,4,8
YDR207C,4,4,8
YDR234W,4,4,8
YDR245W,4,4,8
YDR275W,5,3,8
YDR307W,3,5,8
YDR390C,4,4,8
YDR424C,4,4,8
YDR432W,3,5,8
YDR456W,5,3,8
YDR510W,5,3,8
YEL017C-A,3,5,8
YEL025C,4,4,8
YEL026W,3,5,8
YEL047C,5,3,8
YEL054C,3,5,8
YEL071W,4,4,8
YER041W,4,4,8
YER095W,5,3,8
YER109C,3,5,8
YER127W,5,3,8
YER160C,4,4,8
YGL053W,5,3,8
YGL065C,5,3,8
YGL089C,5,3,8
YGL090W,5,3,8
YGL101W,5,3,8
YGL142C,3,5,8
YGL169W,5,3,8
YGL189C,3,5,8
YGL253W,5,3,8
YGR021W,4,4,8
YGR025W,5,3,8
YGR033C,4,4,8
YGR049W,3,5,8
YGR061C,3,5,8
YGR106C,3,5,8
YGR119C,4,4,8
YGR192C,5,3,8
YGR210C,5,3,8
YGR234W,5,3,8
YGR253C,4,4,8
YHL003C,4,4,8
YHL039W,5,3,8
YHR001W,4,4,8
YHR041C,4,4,8
YHR057C,3,5,8
YHR064C,5,3,8
YHR079C,3,5,8
YHR108W,3,5,8
YHR128W,4,4,8
YHR145C,4,4,8
YHR181W,3,5,8
YHR183W,5,3,8
YIL004C,3,5,8
YIL038C,4,4,8
YIL103W,5,3,8
YIL129C,4,4,8
YIR010W,4,4,8
YIR021W,3,5,8
YIR023W,4,4,8
YIR026C,4,4,8
YJL061W,4,4,8
YJL098W,4,4,8
YJL184W,3,5,8
YJL197W,3,5,8
YJR001W,4,4,8
YJR013W,3,5,8
YJR030C,4,4,8
YJR050W,4,4,8
YJR068W,4,4,8
YJR071W,5,3,8
YJR126C,5,3,8
YKL024C,4,4,8
YKL114C,3,5,8
YKL130C,3,5,8
YKL134C,3,5,8
YKL176C,5,3,8
YKL220C,4,4,8
YKL222C,3,5,8
YKR018C,3,5,8
YKR041W,4,4,8
YKR043C,3,5,8
YKR087C,4,4,8
YKR098C,3,5,8
YKR101W,3,5,8
YLL008W,5,3,8
YLL017W,5,3,8
YLL031C,3,5,8
YLR017W,5,3,8
YLR044C,3,5,8
YLR072W,5,3,8
YLR073C,5,3,8
YLR148W,3,5,8
YLR154C,4,4,8
YLR168C,4,4,8
YLR191W,3,5,8
YLR230W,4,4,8
YLR244C,4,4,8
YLR253W,4,4,8
YLR256W,5,3,8
YLR268W,3,5,8
YLR269C,5,3,8
YLR321C,3,5,8
YLR384C,4,4,8
YLR398C,3,5,8
YLR420W,3,5,8
YLR434C,3,5,8
YLR440C,3,5,8
YLR461W,3,5,8
YML012W,4,4,8
YML022W,4,4,8
YML038C,3,5,8
YML074C,4,4,8
YMR002W,3,5,8
YMR012W,3,5,8
YMR025W,4,4,8
YMR049C,5,3,8
YMR051C,5,3,8
YMR149W,4,4,8
YMR194W,4,4,8
YMR207C,5,3,8
YMR245W,3,5,8
YMR277W,4,4,8
YMR292W,4,4,8
YNL082W,4,4,8
YNL118C,4,4,8
YNL133C,5,3,8
YNL135C,5,3,8
YNL147W,4,4,8
YNL174W,5,3,8
YNL182C,5,3,8
YNL209W,4,4,8
YNL256W,4,4,8
YNR013C,4,4,8
YNR022C,4,4,8
YNR024W,5,3,8
YNR027W,3,5,8
YNR036C,3,5,8
YOL066C,3,5,8
YOL071W,3,5,8
YOR078W,5,3,8
YOR108W,5,3,8
YOR207C,3,5,8
YOR309C,5,3,8
YOR340C,5,3,8
YOR342C,4,4,8
YOR360C,3,5,8
YOR362C,3,5,8
YOR392W,5,3,8
YPL013C,4,4,8
YPL048W,3,5,8
YPL078C,3,5,8
YPL092W,3,5,8
YPL120W,3,5,8
YPL228W,3,5,8
YPL237W,5,3,8
YPL248C,3,5,8
YPL249C,3,5,8
YPL276W,4,4,8
YPR033C,3,5,8
YPR043W,3,5,8
YPR086W,3,5,8
YPR124W,5,3,8
YPR129W,4,4,8
YAL035W,3,4,7
YAL060W,4,3,7
YAR029W,4,3,7
YBL010C,5,2,7
YBL035C,4,3,7
YBL040C,2,5,7
YBL057C,2,5,7
YBR042C,4,3,7
YBR080C,4,3,7
YBR083W,2,5,7
YBR097W,4,3,7
YBR101C,5,2,7
YBR115C,4,3,7
YBR141C,5,2,7
YBR170C,4,3,7
YBR180W,5,2,7
YBR246W,3,4,7
YBR253W,3,4,7
YBR285W,4,3,7
YBR289W,4,3,7
YBR291C,4,3,7
YBR301W,2,5,7
YCL008C,5,2,7
YCL028W,4,3,7
YCR009C,3,4,7
YCR017C,3,4,7
YCR030C,5,2,7
YCR073W-A,3,4,7
YCR083W,4,3,7
YDL003W,5,2,7
YDL015C,2,5,7
YDL078C,4,3,7
YDL103C,3,4,7
YDL126C,2,5,7
YDL159W,2,5,7
YDL171C,3,4,7
YDL212W,2,5,7
YDL216C,3,4,7
YDL235C,3,4,7
YDR036C,3,4,7
YDR041W,3,4,7
YDR086C,3,4,7
YDR087C,4,3,7
YDR088C,2,5,7
YDR092W,3,4,7
YDR099W,4,3,7
YDR108W,4,3,7
YDR120C,5,2,7
YDR121W,4,3,7
YDR126W,2,5,7
YDR155C,3,4,7
YDR191W,3,4,7
YDR193W,5,2,7
YDR195W,4,3,7
YDR237W,2,5,7
YDR238C,3,4,7
YDR293C,2,5,7
YDR296W,4,3,7
YDR311W,4,3,7
YDR347W,3,4,7
YDR349C,2,5,7
YDR351W,2,5,7
YDR366C,4,3,7
YDR404C,4,3,7
YDR414C,3,4,7
YDR422C,4,3,7
YDR437W,3,4,7
YDR439W,2,5,7
YDR490C,5,2,7
YDR511W,4,3,7
YDR522C,3,4,7
YDR541C,3,4,7
YEL044W,3,4,7
YEL055C,5,2,7
YEL063C,5,2,7
YER007C-A,5,2,7
YER021W,2,5,7
YER031C,3,4,7
YER071C,4,3,7
YER087C-B,2,5,7
YER133W,2,5,7
YER134C,2,5,7
YER139C,2,5,7
YER141W,3,4,7
YER155C,3,4,7
YER174C,2,5,7
YER176W,5,2,7
YFL018C,4,3,7
YFL022C,4,3,7
YFL047W,2,5,7
YFR033C,4,3,7
YFR035C,3,4,7
YFR044C,3,4,7
YGL001C,3,4,7
YGL008C,5,2,7
YGL011C,2,5,7
YGL047W,3,4,7
YGL080W,2,5,7
YGL151W,4,3,7
YGL171W,5,2,7
YGL215W,5,2,7
YGL231C,2,5,7
YGL245W,3,4,7
YGL246C,4,3,7
YGL258W,4,3,7
YGR010W,4,3,7
YGR019W,3,4,7
YGR115C,3,4,7
YGR124W,3,4,7
YGR125W,3,4,7
YGR185C,3,4,7
YGR193C,3,4,7
YGR209C,3,4,7
YGR261C,2,5,7
YGR282C,4,3,7
YHR013C,4,3,7
YHR040W,4,3,7
YHR085W,5,2,7
YHR091C,2,5,7
YHR162W,3,4,7
YHR216W,5,2,7
YIL009W,5,2,7
YIL035C,4,3,7
YIL041W,2,5,7
YIL044C,2,5,7
YIL075C,4,3,7
YIL094C,5,2,7
YIL096C,5,2,7
YIL110W,5,2,7
YIL151C,4,3,7
YIR012W,5,2,7
YJL004C,4,3,7
YJL021C,2,5,7
YJL065C,2,5,7
YJL077C,2,5,7
YJL121C,4,3,7
YJL130C,2,5,7
YJL134W,4,3,7
