ID_REF	VALUE
R1 - C7 : 12	16.25
R1 - C7 : 13	117.41
R1 - C7 : 14	161.99
R1 - C7 : 15	132.04
R1 - C7 : 16	0.00
R1 - C7 : 2	23.71
R1 - C7 : 3	30.30
R1 - C7 : 4	17.64
R1 - C7 : 5	63.30
R1 - C7 : 6	29.47
R1 - C7 : 7	50.17
R1 - C7 : 8	86.25
R1 - C7 : 9	66.54
R1 - C8 : 1	65.45
R1 - C8 : 10	19.81
R1 - C8 : 11	26.23
R1 - C8 : 12	99.54
R1 - C8 : 13	425.85
R1 - C8 : 14	224.35
R1 - C8 : 15	153.87
R1 - C8 : 16	39.65
R1 - C8 : 2	9.44
R1 - C8 : 3	124.47
R1 - C8 : 4	79.70
R1 - C8 : 5	35.06
R1 - C8 : 6	139.97
R1 - C8 : 7	24.89
R1 - C8 : 8	136.08
R1 - C8 : 9	168.68
R1 - C9 : 1	17.12
R1 - C9 : 10	37.40
R1 - C9 : 11	8.74
R1 - C9 : 12	45.91
R1 - C9 : 13	94.34
R1 - C9 : 14	74.99
R1 - C9 : 15	53.13
R1 - C9 : 16	41.64
R1 - C9 : 2	27.84
R1 - C9 : 3	52.71
R1 - C9 : 4	31.57
R1 - C9 : 5	68.64
R1 - C9 : 6	112.46
R1 - C9 : 7	26.10
R1 - C9 : 8	95.57
R1 - C9 : 9	93.97
R10 - C1 : 1	26.51
R10 - C1 : 10	115.21
R10 - C1 : 11	205.42
R10 - C1 : 12	3.14
R10 - C1 : 13	101.01
R10 - C1 : 14	42.77
R10 - C1 : 15	32.82
R10 - C1 : 16	70.20
R10 - C1 : 2	30.38
R10 - C1 : 3	32.09
R10 - C1 : 4	18.80
R10 - C1 : 5	23.79
R10 - C1 : 6	35.98
R10 - C1 : 7	62.38
R10 - C1 : 8	7.95
R10 - C1 : 9	15.36
R10 - C10 : 1	74.99
R10 - C10 : 10	148.54
R10 - C10 : 11	26.58
R10 - C10 : 12	0.00
R10 - C10 : 13	6.06
R10 - C10 : 14	409.64
R10 - C10 : 15	133.28
R10 - C10 : 16	0.00
R10 - C10 : 2	16.61
R10 - C10 : 3	34.88
R10 - C10 : 4	19.73
R10 - C10 : 5	27.25
R10 - C10 : 6	70.64
R10 - C10 : 7	167.76
R10 - C10 : 8	22.84
R10 - C10 : 9	0.00
R10 - C11 : 1	33.32
R10 - C11 : 10	9.53
R10 - C11 : 11	5.61
R10 - C11 : 12	10.47
R10 - C11 : 13	18.70
R10 - C11 : 14	132.30
R10 - C11 : 15	13.74
R10 - C11 : 16	4.98
R10 - C11 : 2	27.09
R10 - C11 : 3	45.46
R10 - C11 : 4	58.88
R10 - C11 : 5	26.63
R10 - C11 : 6	20.29
R10 - C11 : 7	41.10
R10 - C11 : 8	30.34
R10 - C11 : 9	17.88
R10 - C12 : 1	261.91
R10 - C12 : 10	22.11
R10 - C12 : 11	119.51
R10 - C12 : 12	119.22
R10 - C12 : 13	3.73
R10 - C12 : 14	117.32
R10 - C12 : 15	0.00
R10 - C12 : 16	88.04
R10 - C12 : 2	11.77
R10 - C12 : 3	31.82
R10 - C12 : 4	250.71
R10 - C12 : 5	64.72
R10 - C12 : 6	44.81
R10 - C12 : 7	82.01
R10 - C12 : 8	4.74
R10 - C12 : 9	5.39
R10 - C13 : 1	51.22
R10 - C13 : 10	1025.19
R10 - C13 : 11	17.75
R10 - C13 : 12	41.08
R10 - C13 : 13	14.65
R10 - C13 : 14	87.74
R10 - C13 : 15	25.05
R10 - C13 : 16	28.74
R10 - C13 : 2	65.37
R10 - C13 : 3	43.19
R10 - C13 : 4	52.36
R10 - C13 : 5	25.41
R10 - C13 : 6	68.81
R10 - C13 : 7	20.18
R10 - C13 : 8	59.17
R10 - C13 : 9	17.59
R10 - C14 : 1	43.01
R10 - C14 : 10	83.27
R10 - C14 : 11	231.00
R10 - C14 : 12	46.05
R10 - C14 : 13	8.79
R10 - C14 : 14	142.09
R10 - C14 : 15	68.70
R10 - C14 : 16	20.10
R10 - C14 : 2	32.60
R10 - C14 : 3	116.91
R10 - C14 : 4	51.83
R10 - C14 : 5	41.00
R10 - C14 : 6	5.98
R10 - C14 : 7	220.99
R10 - C14 : 8	65.72
R10 - C14 : 9	59.43
R10 - C15 : 1	241.86
R10 - C15 : 10	56.61
R10 - C15 : 11	15.92
R10 - C15 : 12	16.00
R10 - C15 : 13	114.63
R10 - C15 : 14	102.75
R10 - C15 : 15	34.94
R10 - C15 : 16	55.40
R10 - C15 : 2	78.20
R10 - C15 : 3	3.65
R10 - C15 : 4	29.40
R10 - C15 : 5	23.59
R10 - C15 : 6	79.20
R10 - C15 : 7	158.30
R10 - C15 : 8	40.51
R10 - C15 : 9	54.91
R10 - C16 : 1	60.72
R10 - C16 : 10	2.59
R10 - C16 : 11	35.18
